"variable","value","species"
"total",241,"Actinostola callosa"
"true",99.17,"Actinostola callosa"
"false",0.83,"Actinostola callosa"
"total",68842,"Callinectes sapidus"
"true",99.98,"Callinectes sapidus"
"false",0.02,"Callinectes sapidus"
"total",1623,"Centroscymnus coelolepis"
"true",100,"Centroscymnus coelolepis"
"false",0,"Centroscymnus coelolepis"
"total",25877,"Chionoecetes opilio"
"true",99.98,"Chionoecetes opilio"
"false",0.02,"Chionoecetes opilio"
"total",483,"Coryphaenoides armatus"
"true",94.41,"Coryphaenoides armatus"
"false",5.59,"Coryphaenoides armatus"
"total",323,"Patiria pectinifera"
"true",99.69,"Patiria pectinifera"
"false",0.31,"Patiria pectinifera"
"total",117,"Plesiobatis daviesi"
"true",85.47,"Plesiobatis daviesi"
"false",14.53,"Plesiobatis daviesi"
"total",21,"Pseudoliparis swirei"
"true",100,"Pseudoliparis swirei"
"false",0,"Pseudoliparis swirei"
"total",520,"Tridacna gigas"
"true",92.31,"Tridacna gigas"
"false",7.69,"Tridacna gigas"
